-------------------------------Start_Listing-------------------------------

  NumTok  |  Line  |  String    |  code/val   | MEM | REG |   pos  |  comment  
   0000   |    1   |   push     |  1          |  0  |  0  |    16  |  OK
   0001   |    1   |   0        |  0.00       |  0  |  0  |    24  |  OK
   0002   |    2   |   pop      |  7          |  0  |  0  |    32  |  OK
   0003   |    2   |   RAX      |  1          |  0  |  1  |    40  |  OK
   0004   |    3   |   push     |  1          |  0  |  0  |    48  |  OK
   0005   |    4   |   -50      |  -50.00     |  0  |  0  |    56  |  OK
   0006   |    5   |   pop      |  7          |  0  |  0  |    64  |  OK
   0007   |    5   |   RBX      |  2          |  0  |  1  |    72  |  OK
   0008   |    6   |   push     |  1          |  0  |  0  |    80  |  OK
   0009   |    6   |   50       |  50.00      |  0  |  0  |    88  |  OK
   0010   |    7   |   pop      |  7          |  0  |  0  |    96  |  OK
   0011   |    7   |   RCX      |  3          |  0  |  1  |   104  |  OK
   0012   |    8   |   1:       |  112        |  0  |  0  |   112  |  OK
   0013   |    9   |   push     |  1          |  0  |  0  |   112  |  OK
   0014   |   10   |   RBX      |  2          |  0  |  1  |   120  |  OK
   0015   |   11   |   push     |  1          |  0  |  0  |   128  |  OK
   0016   |   12   |   RBX      |  2          |  0  |  1  |   136  |  OK
   0017   |   13   |   mul      |  4          |  0  |  0  |   144  |  OK
   0018   |   14   |   Push     |  1          |  0  |  0  |   160  |  OK
   0019   |   14   |   RCX      |  3          |  0  |  1  |   168  |  OK
   0020   |   15   |   push     |  1          |  0  |  0  |   176  |  OK
   0021   |   15   |   RCX      |  3          |  0  |  1  |   184  |  OK
   0022   |   16   |   push     |  1          |  0  |  0  |   192  |  OK
   0023   |   16   |   5        |  5.00       |  0  |  0  |   200  |  OK
   0024   |   17   |   mul      |  4          |  0  |  0  |   208  |  OK
   0025   |   18   |   mul      |  4          |  0  |  0  |   224  |  OK
   0026   |   19   |   add      |  2          |  0  |  0  |   240  |  OK
   0027   |   20   |   push     |  1          |  0  |  0  |   256  |  OK
   0028   |   20   |   2200     |  2200.00    |  0  |  0  |   264  |  OK
   0029   |   21   |   jae      |  16         |  0  |  0  |   272  |  OK
   0030   |   21   |   :pusto   |  ---------  |  0  |  0  |   264  |  OK
